stars;forks;commits;branches;pull requests all;pull requests open;pull requests closed;contributors;watchers;issues;topics;license name;;
6;8;51;2;2;1;1;3;6;6;teaching-materials;No License;;
13;5;15;18;0;0;0;1;13;0;training-materials;Creative Commons Attribution Share Alike 4.0 International;;
1;0;19;1;0;0;0;1;1;0;university-course;No License;;
0;0;406;3;0;0;0;1;0;0;teaching-materials;MIT License;;
1;0;8;1;0;0;0;1;1;0;presentation-slides;Creative Commons Attribution 4.0 International;;
0;4;97;6;2;1;1;2;0;15;university-course;No License;;
20;14;11;1;0;0;0;2;20;0;lecture;MIT License;;
3;1;37;1;1;0;1;3;3;0;course-material;GNU General Public License v2.0;;
2;0;4;1;0;0;0;1;2;0;teaching-materials;No License;;
3;4;173;1;0;0;0;6;3;0;workshop-materials;No License;;
0;1;27;1;0;0;0;1;0;0;oer;Other;No License description;
6;9;57;1;0;0;0;5;6;0;workshop-materials;Apache License 2.0;;
0;0;18;1;0;0;0;1;0;0;lecture;No License;;
29;20;173;1;2;1;1;12;29;1;workshop-materials;No License;;
24;9;45;1;0;0;0;1;24;0;workshop-materials;Apache License 2.0;;
1;1;80;1;0;0;0;1;1;0;teaching-materials;No License;;
0;1;115;2;0;0;0;1;0;0;teaching-materials;Creative Commons Zero v1.0 Universal;;
9;1;86;1;0;0;0;1;9;0;course-materials;No License;;
3;5;586;5;32;0;32;3;3;6;teaching-materials;No License;;
265;103;50;1;0;0;0;1;265;0;lecture-slides lecture-material lecture-videos;No License;;
0;3;104;1;0;0;0;4;0;0;workshop-materials;No License;;
0;0;58;1;0;0;0;2;0;0;lecture;No License;;
4;1;279;2;0;0;0;3;4;0;teaching-materials;No License;;
3;0;12;2;0;0;0;1;3;5;teaching-materials;MIT License;;
17;5;9;2;0;0;0;1;17;0;teaching-materials;MIT License;;
0;0;13;1;0;0;0;1;0;0;university-course;MIT License;;
6;17;6;1;12;0;12;1;6;0;workshop-materials;MIT License;;
3;5;13;2;1;0;1;1;3;0;teaching-materials;MIT License;;
0;0;17;1;0;0;0;1;0;0;university-course;MIT License;;
0;0;48;1;0;0;0;1;0;0;teaching-materials;No License;;
0;0;33;1;0;0;0;1;0;0;teaching-materials;No License;;
13;12;172;3;153;6;147;12;13;6;lecture;MIT License;;
0;4;19;1;0;0;0;1;0;0;lecture-material;No License;;
4;28;214;1;23;7;16;8;4;7;course-materials;No License;;
0;0;28;1;0;0;0;1;0;0;teaching-materials;MIT License;;
10;15;79;1;0;0;0;2;10;0;course-materials university-course;No License;;
12;8;68;5;2;2;0;2;12;2;university-course course-materials;No License;;
6;7;65;2;0;0;0;2;6;0;course-material;GNU General Public License v2.0;;
0;0;12;1;1;0;1;1;0;0;teaching-materials;MIT License;;
0;0;55;1;0;0;0;1;0;0;presentation-slides;MIT License;;
1;0;9;6;0;0;0;1;1;0;teaching-materials;No License;;
65;15;44;1;0;0;0;1;65;1;training-materials educational-materials workshop-materials;No License;;
1;0;176;1;0;0;0;1;1;4;teaching-materials;MIT License;;
1;0;6;1;0;0;0;1;1;0;presentation-materials;No License;;
0;1;5;1;0;0;0;1;0;0;course-materials;No License;;
8;5;561;4;79;0;79;10;8;5;teaching-materials;MIT License;;
0;0;53;1;0;0;0;1;0;0;university-course;GNU General Public License v3.0;;
2;0;55;1;0;0;0;1;2;1;teaching-materials;No License;;
1;0;11;1;0;0;0;1;1;1;teaching-materials;No License;;
1;1;8;1;0;0;0;1;1;0;moocs;No License;;
0;0;32;1;2;0;2;1;0;0;university-course;GNU Affero General Public License v3.0;;
77;23;94;1;0;0;0;1;77;0;educational-resources;MIT License;;
2;3;38;1;0;0;0;1;2;0;educational-materials;No License;;
0;2;11;2;2;0;2;3;0;0;university-course;No License;;
10;5;20;1;0;0;0;2;10;0;educational-materials workshop-materials;No License;;
11;9;79;2;0;0;0;2;11;0;training-materials;No License;;
6;33;228;2;39;1;38;19;6;3;learning-materials;Apache License 2.0;;
1;0;5;1;0;0;0;1;1;0;university-course;No License;;
412;190;136;1;0;0;0;1;412;2;training-materials;No License;;
0;0;7;1;0;0;0;1;0;0;university-course;MIT License;;
12;5;125;1;0;0;0;1;12;0;educational-materials;MIT License;;
1;0;184;2;0;0;0;1;1;0;educational-materials;GNU General Public License v3.0;;
2;0;7;1;0;0;0;1;2;0;lecture-slides;Apache License 2.0;;
0;0;4;1;0;0;0;1;0;0;university-course;GNU General Public License v3.0;;
102;22;20;1;0;0;0;1;102;0;mooc;MIT License;;
1;0;78;1;0;0;0;3;1;0;university-course;No License;;
2;2;7;2;0;0;0;1;2;0;teaching-materials;Other;No License description;
2;3;27;1;1;0;1;1;2;0;teaching-materials;Other;No License description;
0;0;9;1;0;0;0;1;0;0;teaching-materials;Creative Commons Attribution 4.0 International;;
4;9;150;1;11;0;11;6;4;1;course-material;GNU General Public License v3.0;;
0;1;19;1;0;0;0;1;0;0;university-course;No License;;
2;2;614;4;2;0;2;9;2;4;course-materials;Other;No License description;
0;0;1621;2;1;1;0;129;0;1;training-materials;MIT License;;
1;26;48;2;3;0;3;5;1;0;teaching-materials;GNU Lesser General Public License v3.0;;
1;0;10;1;0;0;0;1;1;0;training-materials;No License;;
2;1;59;1;0;0;0;1;2;0;lecture-material;No License;;
11;4;26;1;1;0;1;0;11;0;workshop-materials;GNU General Public License v3.0;;
1;0;3;1;0;0;0;1;1;0;teaching-materials;Other;No License description;
13;23;80;3;4;0;4;2;13;0;workshop-materials;MIT License;;
1;2;227;1;0;0;0;2;1;2;lecture;No License;;
0;0;23;1;0;0;0;1;0;0;teaching-materials;MIT License;;
0;0;9;1;0;0;0;1;0;0;lecture;GNU General Public License v3.0;;
2;0;8;1;0;0;0;1;2;0;self-learning;No License;;
2;0;13;1;0;0;0;1;2;0;training-materials;No License;;
0;3;12;1;2;1;1;2;0;1;presentation-slides;No License;;
1;0;41;1;0;0;0;0;1;0;teaching-materials;No License;;
1464;764;322;3;68;5;63;26;1464;23;mooc;Apache License 2.0;;
11;2;194;2;5;0;5;8;11;38;training-materials;No License;;
0;1;32;1;0;0;0;2;0;0;lecture;Other;No License description;
1;0;17;1;0;0;0;1;1;0;lecture-slides lecture-material;No License;;
0;0;42;2;5;0;5;1;0;0;lecture;Other;No License description;
0;1;44;1;0;0;0;1;0;0;course-materials;No License;;
17;4;86;1;1;0;1;2;17;0;teaching-materials;No License;;
1;1;7;1;0;0;0;1;1;0;teaching-materials;MIT License;;
0;0;15;1;0;0;0;1;0;0;course-material;No License;;
13;0;9;1;0;0;0;1;13;0;mooc;MIT License;;
0;5;20;1;0;0;0;1;0;0;university-course;No License;;
6;2;841;2;1;0;1;1;6;0;teaching-materials;MIT License;;
18;21;596;1;0;0;0;1;18;0;course-materials;No License;;
2;0;293;6;1;0;1;2;2;0;teaching-materials;MIT License;;
0;0;6;1;0;0;0;1;0;0;training-material;Apache License 2.0;;
4;2;20;1;0;0;0;1;4;0;textbook;No License;;
0;1;11;2;1;0;1;2;0;0;teaching-materials;MIT License;;
0;0;10;1;0;0;0;1;0;0;teaching-materials;No License;;
0;0;181;3;2;2;0;2;0;2;lecture;No License;;
96;44;277;3;2;0;2;1;96;0;educational-materials;MIT License;;
0;0;15;2;11;0;11;1;0;0;course-materials;MIT License;;
